,serialtarjeta,idsam,fechahoraevento,producto,montoevento,consecutivoevento,identidad,tipoevento,latitude,longitude,idrutaestacion,tipotransporte,ymd,year,month,day,hour
169795,18f6e00ec04d8e05438254c3b1e8502b,041e3ee24e6180,2022-10-29 19:15:10,MO,2300,8528,3,4,-25.37527,-57.39886,0192,1,2022-10-29 (Vi),2022,10,29,19
176505,18f6e00ec04d8e05438254c3b1e8502b,041e3ee24e6180,2022-10-29 18:32:40,MO,2300,8527,3,4,-25.37746,-57.39817,0193,1,2022-10-29 (Vi),2022,10,29,18
181037,18f6e00ec04d8e05438254c3b1e8502b,041e3ee24e6180,2022-10-29 18:10:54,MO,2300,8526,3,4,-25.38647,-57.36635,0192,1,2022-10-29 (Vi),2022,10,29,18
181059,18f6e00ec04d8e05438254c3b1e8502b,041e3ee24e6180,2022-10-29 18:10:48,MO,2300,8525,3,4,-25.38675,-57.3657,0192,1,2022-10-29 (Vi),2022,10,29,18
181681,18f6e00ec04d8e05438254c3b1e8502b,041e3ee24e6180,2022-10-29 18:08:00,MO,2300,8524,3,4,-25.39227,-57.35478,0192,1,2022-10-29 (Vi),2022,10,29,18
183704,18f6e00ec04d8e05438254c3b1e8502b,041e3ee24e6180,2022-10-29 17:59:04,MO,2300,8523,3,4,-25.39624,-57.34785,0192,1,2022-10-29 (Vi),2022,10,29,17
183767,18f6e00ec04d8e05438254c3b1e8502b,041e3ee24e6180,2022-10-29 17:58:50,MO,2300,8522,3,4,-25.39624,-57.34785,0192,1,2022-10-29 (Vi),2022,10,29,17
183782,18f6e00ec04d8e05438254c3b1e8502b,041e3ee24e6180,2022-10-29 17:58:46,MO,2300,8521,3,4,-25.39624,-57.34785,0192,1,2022-10-29 (Vi),2022,10,29,17
198620,18f6e00ec04d8e05438254c3b1e8502b,041e3ee24e6180,2022-10-29 17:18:34,MO,2300,8520,3,4,-25.36855,-57.38078,0193,1,2022-10-29 (Vi),2022,10,29,17
200101,18f6e00ec04d8e05438254c3b1e8502b,041e3ee24e6180,2022-10-29 17:15:34,MO,2300,8519,3,4,-25.36535,-57.38772,0193,1,2022-10-29 (Vi),2022,10,29,17
